latitude,longitude,tags,street_name,street_counter
43.7211779,10.3914214,"{'highway': 'residential', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Via Giunta Pisano', 'name:etymology:wikidata': 'Q975500', 'oneway': 'yes', 'parking:both': 'street_side', 'parking:both:fee': 'yes', 'parking:both:orientation': 'parallel', 'surface': 'asphalt'}","Via Giunta Pisano, Via Bonanno Pisano",2
43.7221479,10.3882131,"{'highway': 'residential', 'maxspeed:type': 'IT:urban', 'name': 'Via Diotisalvi', 'name:etymology:wikidata': 'Q763522', 'oneway': 'yes', 'surface': 'asphalt'}","Via Giunta Pisano, Via Diotisalvi, Via Andrea Pisano",3
43.7229513,10.3982212,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'motor_vehicle': 'permit', 'name': 'Via Cardinale Pietro Maffi', 'name:etymology:wikidata': 'Q1124206', 'oneway': 'yes', 'sidewalk:left': 'separate', 'sidewalk:right': 'yes', 'surface': 'asphalt'}","Via Ugo Camozzo, Via Cardinale Pietro Maffi, Via San Ranierino",3
43.7164088,10.3882581,"{'highway': 'secondary', 'name': 'Via Bonanno Pisano', 'name:etymology:wikidata': 'Q892084', 'surface': 'asphalt'}","Via Bonanno Pisano, Via dei Macelli",2
43.7181759,10.3894504,"{'highway': 'secondary', 'name': 'Via Bonanno Pisano', 'name:etymology:wikidata': 'Q892084', 'surface': 'asphalt'}","Via Turino Vanni, Via Bonanno Pisano, Via Rustichello da Pisa, Via Pietro da Pisa",4
43.7228292,10.3922295,"{'highway': 'residential', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Via Andrea Pisano', 'name:etymology:wikidata': 'Q311031', 'oneway': 'yes', 'parking:both': 'street_side', 'parking:both:fee': 'yes', 'parking:both:orientation': 'parallel', 'surface': 'asphalt'}","Via Andrea Pisano, Via Bonanno Pisano, Via G. Battista Niccolini",3
43.722951,10.3897496,"{'highway': 'residential', 'name': 'Via Vecchia Barbaricina', 'source': 'PCN aerial 2006;Bing aerial', 'surface': 'asphalt'}","N/A, Via Andrea Pisano, Via Vecchia Barbaricina",3
43.7225026,10.3984423,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'maxspeed:type': 'IT:zone30', 'name': 'Via Ugo Camozzo', 'note': 'to_review', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}","Via Ugo Camozzo, Piazza dell'Arcivescovado",2
43.721923,10.399224,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via Ferdinando Capponi', 'name:etymology:wikidata': 'Q3742568', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}","Via San Tommaso, Via Ferdinando Capponi, Via Uguccione della Faggiola",3
43.7212777,10.4003564,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via dei Martiri', 'name:etymology:wikidata': 'Q6498826', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}","Via dei Martiri, Via Ferdinando Capponi",2
43.7198717,10.3996002,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via dei Martiri', 'name:etymology:wikidata': 'Q6498826', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}","Via dei Martiri, Via Dalmazia, Piazza dei Cavalieri, Via Corsica",4
43.7177108,10.3998677,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'moped': 'yes', 'motorcycle': 'yes', 'motor_vehicle': 'designated', 'name': 'Via Curtatone e Montanara', 'name:etymology:wikidata': 'Q3636414', 'note': 'to_review', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}","Via Tavoleria, Piazza San Frediano, Via Domenico Cavalca, Via San Frediano, Via Curtatone e Montanara",5
43.7170206,10.3916516,"{'bicycle': 'yes', 'highway': 'residential', 'maxspeed': '30', 'name': 'Via Nicola Pisano', 'name:etymology:wikidata': 'Q364413', 'oneway': 'yes', 'surface': 'asphalt'}","Via Nicola Pisano, Via Enrico Fermi, Via Rustichello da Pisa",3
43.7165557,10.3915297,"{'bicycle': 'yes', 'highway': 'residential', 'maxspeed': '30', 'name': 'Via Nicola Pisano', 'name:etymology:wikidata': 'Q364413', 'oneway': 'yes', 'surface': 'asphalt'}","Via Nicola Pisano, Via Volturno",2
43.7197737,10.3956139,"{'access:lanes': 'yes|hospital', 'highway': 'residential', 'lanes': '2', 'maxspeed': '30', 'name': 'Via Paolo Savi', 'name:etymology:wikidata': 'Q2356835', 'oneway': 'yes', 'surface': 'asphalt'}","Via Roma, Via Paolo Savi",2
43.7198919,10.3929772,"{'access:lanes': 'yes|hospital', 'highway': 'residential', 'lanes': '2', 'maxspeed': '30', 'name': 'Via Paolo Savi', 'name:etymology:wikidata': 'Q2356835', 'oneway': 'yes', 'surface': 'asphalt'}","Via Nicola Pisano, Via Paolo Savi",2
43.7181988,10.3925435,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Risorgimento', 'name:etymology:wikidata': 'Q51122', 'surface': 'asphalt', 'wikidata': 'Q122619368'}","Via Nicola Pisano, Via Risorgimento",2
43.720987,10.3886822,"{'highway': 'residential', 'lane_markings': 'no', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Via Cimabue', 'name:etymology:wikidata': 'Q15790', 'oneway': 'yes', 'parking:both': 'lane', 'parking:both:orientation': 'parallel', 'surface': 'asphalt'}","Via Cimabue, Via Diotisalvi",2
43.7196471,10.3879154,"{'highway': 'residential', 'lane_markings': 'no', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Via Cimabue', 'name:etymology:wikidata': 'Q15790', 'oneway': 'yes', 'parking:both': 'lane', 'parking:both:orientation': 'parallel', 'surface': 'asphalt'}","Via Cimabue, Via Carlo Francesco Gabba",2
43.7198206,10.3989136,"{'foot': 'designated', 'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via dei Mille', 'name:etymology:wikidata': 'Q228284', 'note': 'to_review', 'oneway': 'yes', 'sidewalk': 'right', 'sidewalk:right:surface': 'asphalt', 'smoothness': 'intermediate', 'surface': 'asphalt'}","Via Pasquale Paoli, Piazza Francesco Buonamici, Via Uguccione della Faggiola, Via Dalmazia, Via Corsica, Via dei Mille",6
43.7198819,10.3973556,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via Luca Ghini', 'oneway': 'yes', 'surface': 'asphalt'}","Via Luca Ghini, Via Don Gaetano Boschi, Piazza Felice Cavallotti, Via Santa Maria, Via dei Mille",5
43.7166398,10.3998939,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'moped': 'yes', 'motorcycle': 'yes', 'motor_vehicle': 'designated', 'name': 'Via Curtatone e Montanara', 'name:etymology:wikidata': 'Q3636414', 'note': 'to_review', 'oneway': 'yes', 'sidewalk': 'both', 'surface': 'asphalt'}","Via Curtatone e Montanara, Lungarno Antonio Pacinotti",2
43.7205101,10.3895106,"{'highway': 'residential', 'lane_markings': 'no', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Largo Lucio Lazzarino', 'oneway': 'yes', 'parking:both': 'lane', 'parking:both:orientation': 'diagonal', 'source': 'PCN aerial 2006', 'surface': 'asphalt'}","Via Diotisalvi, Via Francesco Traini, Largo Lucio Lazzarino",3
43.718127,10.3969295,"{'highway': 'residential', 'lit': 'yes', 'name': 'Via Alessandro Volta', 'name:etymology:wikidata': 'Q680', 'oneway': 'yes', 'surface': 'paving_stones'}","Via Santa Maria, Via Alessandro Volta",2
43.7185764,10.3954069,"{'highway': 'residential', 'lit': 'yes', 'name': 'Via Alessandro Volta', 'name:etymology:wikidata': 'Q680', 'oneway': 'yes', 'surface': 'paving_stones'}","Via Roma, Via Derna, Via Alessandro Volta",3
43.7193247,10.3929429,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Derna', 'oneway': 'yes', 'surface': 'asphalt'}","Via Derna, Via Nicola Pisano",2
43.7184888,10.3882776,"{'highway': 'residential', 'name': 'Via Turino Vanni', 'name:etymology:wikidata': 'Q3542305', 'parking:both': 'street_side', 'parking:both:fee': 'yes', 'parking:both:orientation': 'parallel'}","Via Turino Vanni, Via Spinello Aretino",2
43.7166748,10.3970962,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via San Niccola', 'oneway': 'yes'}","Piazza Francesco Carrara, Lungarno Antonio Pacinotti, N/A, Via San Niccola, Via San Nicola",5
43.7215349,10.3957813,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via Angelo Galli Tassi', 'note': 'to_review', 'oneway': 'yes', 'sidewalk': 'left', 'surface': 'asphalt'}","Via Roma, Via Angelo Galli Tassi",2
43.7215057,10.3966777,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via Angelo Galli Tassi', 'note': 'to_review', 'oneway': 'yes', 'sidewalk': 'left', 'surface': 'asphalt'}","Via Porta Buozzi, Via Angelo Galli Tassi",2
43.7198467,10.396716,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Porta Buozzi', 'oneway': 'yes', 'surface': 'asphalt'}","Via Porta Buozzi, Via Luca Ghini",2
43.7180247,10.39365,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Risorgimento', 'name:etymology:wikidata': 'Q51122', 'oneway': 'yes', 'surface': 'asphalt', 'wikidata': 'Q122619368'}","Via Risorgimento, Via Magenta",2
43.71779,10.3951959,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Risorgimento', 'name:etymology:wikidata': 'Q51122', 'oneway': 'yes', 'surface': 'asphalt', 'wikidata': 'Q122619368'}","Via Roma, Via Risorgimento",2
43.7170109,10.3933401,"{'highway': 'residential', 'name': 'Via Magenta', 'oneway': 'yes'}","Via Trieste, Via Magenta",2
43.7166791,10.3963901,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Trento', 'name:etymology:wikidata': 'Q3376', 'oneway': 'yes', 'surface': 'paving_stones'}","Via Trento, Via San Niccola, Via Santa Maria",3
43.7168523,10.39526,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Trento', 'name:etymology:wikidata': 'Q3376', 'oneway': 'yes', 'surface': 'paving_stones'}","Via Santa Lucia, Via Trento, Via Ricucchi",3
43.7169278,10.3949365,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via Trento', 'name:etymology:wikidata': 'Q3376', 'oneway': 'yes', 'surface': 'paving_stones'}","Via Trieste, Via Trento, Via Roma",3
43.717472,10.3919227,"{'highway': 'residential', 'maxspeed': '50', 'name': 'Via Trieste', 'name:etymology:wikidata': 'Q546', 'oneway': 'yes', 'surface': 'asphalt'}","Via Trieste, Via Nicola Pisano",2
43.7163698,10.3945476,"{'highway': 'residential', 'lanes': '2', 'lanes:bus:backward': '1', 'lanes:forward': '1', 'maxspeed': '30', 'name': 'Via Enrico Fermi', 'oneway': 'yes', 'oneway:psv': 'no'}","Via Roma, Via Enrico Fermi",2
43.7176731,10.3978318,"{'highway': 'residential', 'name': 'Via La Pergola', 'oneway': 'yes', 'surface': 'asphalt'}","Piazza San Giorgio, Via del Collegio Ricci, Via La Pergola",3
43.722343,10.401046,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'motor_vehicle': 'permit', 'name': 'Via San Tommaso', 'oneway': 'yes', 'surface': 'asphalt'}","Via San Tommaso, Via Cardinale Pietro Maffi",2
43.7193253,10.388812,"{'cycleway': 'no', 'highway': 'unclassified', 'lit': 'yes', 'maxspeed': 'IT:urban', 'name': 'Via Carlo Francesco Gabba', 'name:etymology:wikidata': 'Q2294066', 'width': '10'}","Via Francesco Traini, Via Carlo Francesco Gabba",2
43.7189718,10.3899712,"{'cycleway': 'no', 'highway': 'secondary', 'lanes': '3', 'lanes:backward': '1', 'lanes:forward': '2', 'name': 'Via Bonanno Pisano', 'name:etymology:wikidata': 'Q892084', 'surface': 'asphalt', 'turn:lanes:forward': 'left|through;right'}","Via Bonanno Pisano, Via Risorgimento, Via Carlo Francesco Gabba",3
43.7203357,10.3908775,"{'highway': 'residential', 'lane_markings': 'no', 'lit': 'yes', 'maxspeed:type': 'IT:urban', 'name': 'Via Diotisalvi', 'name:etymology:wikidata': 'Q763522', 'oneway': 'no', 'parking:both': 'lane', 'parking:both:fee': 'yes', 'parking:both:orientation': 'diagonal', 'surface': 'asphalt'}","Via Diotisalvi, Via Bonanno Pisano",2
43.7161352,10.3966029,"{'bicycle': 'yes', 'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via Santa Maria', 'name:etymology:wikidata': 'Q345', 'oneway': 'yes', 'oneway:bicycle': 'no', 'short_name': 'Via S. Maria', 'surface': 'asphalt', 'wikidata': 'Q112897476'}","Via Santa Maria, Lungarno Antonio Pacinotti",2
43.7190682,10.3999712,"{'highway': 'residential', 'maxspeed': '30', 'name': 'Via San Frediano', 'note': 'to_review', 'oneway': 'yes', 'surface': 'asphalt'}","Piazza dei Cavalieri, Via San Frediano",2
43.7220093,10.3983839,"{'cycleway:both': 'no', 'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'maxspeed:type': 'zone', 'name': 'Via Ferdinando Capponi', 'name:etymology:wikidata': 'Q3742568', 'oneway': 'alternating', 'parking:lane:both': 'no_stopping', 'priority': 'forward', 'sidewalk': 'none', 'surface': 'asphalt'}","Piazza dell'Arcivescovado, Via Ferdinando Capponi",2
43.7222385,10.3977108,"{'highway': 'residential', 'lit': 'yes', 'maxspeed': '30', 'name': 'Via Don Gaetano Boschi', 'name:etymology:wikidata': 'Q3756912', 'oneway': 'yes', 'surface': 'asphalt'}","Piazza dell'Arcivescovado, Via Don Gaetano Boschi",2
